Artigos,Avaliação
Using Query Reformulation to Compare Learning Behaviors in Web Search Engines,V
Search and Justification Behavior During Multimedia Web Search for Procedural Knowledge,V
Exploring Document Retrieval Features Associated with Improved Short- and Long-term Vocabulary Learning Outcomes,V
Introduction to the special issue on search as learning,X
Online searching and learning: YUM and other search tools for children and teachers,V
The orchestration of a collaborative information seeking learning task,V
The impact of result diversification on search behaviour and performance,V
From Accessibility to Assess-Ability: An Evaluation Heuristic Based on Cognitive Engagement in Search,V
“Is This an Example Image?”--Predicting the Relative Abstractness Level of Image and Text,X
Estimating the information gap between textual and visual representations,X
Learning sensor-based navigation,X
Local model architectures for nonlinear modelling and control,X
KEYSTONE Activities and Results Overview on Enabling Mobility \& Fostering Collaborations Through STSM,X
Some late-breaking news from the data mines and a preview of the KOALA system: A prospector's report,X
WHY KNOWING WHAT TO DO IS NOT ENOUGH: A Realistic Perspective on Self-reliance in Society,X
"Bioinformatic prediction, deep sequencing of microRNAs and expression analysis during phenotypic plasticity in the pea aphid, Acyrthosiphon pisum",X
Personalized Information Seeking Assistant (PiSA): from programming information seeking to learning,V
There’sa creepy guy on the other end at Google!: engaging middle school students in a drawing activity to elicit their mental models of Google,V
E-learning critical success factors: Comparing perspectives from academic staff and students,X
Using time pressure and note-taking to prevent digital distraction behavior and enhance online search performance: Perspectives from the load theory of attention and cognitive control,V
Regularized logistic regression without a penalty term: An application to cancer classification with microarray data,X
Development of Indicators of Learner's Key Competencies Based on the Basic Education Core Curriculum,X
Introduction to “Learning with ICT: New perspectives on help seeking and information searching”,V
Teaching in the religious education in the Republic of Macedonia today,X
A model for multi-label classification and ranking of learning objects,X
Measuring universal intelligence: Towards an anytime intelligence test,X
Effect of Novak Colorful Concept Map with Digital Teaching Materials on Student Academic Achievement,X
Exploring Islamic Website Features that Influence user Satisfaction: A Conceptual Model,X
Teachers’ information and communication technology competences: A structural approach,X
Empirical studies of Gaussian process based Bayesian optimization using evolutionary computation for materials informatics,X
Reliability estimation using a genetic algorithm-based artificial neural network: An application to a load-haul-dump machine,X
Analyzing teachers’ perceptions on learning organizations in terms of different variables,X
Diagnosis of Educational Needs for the Implementation of Blended Courses Based on the Blended Learning Model. The Case of the Social Sciences Faculty of the National University of Costa Rica,X
OntoSakai: On the optimization of a Learning Management System using semantics and user profiling,X
