bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
8001849,SaR-WEB: A Semantic Web Tool to Support Search as Learning Practices and Cross-Language Results on the Web,D. {Taibi} and G. {Fulantelli} and I. {Marenzi} and W. {Nejdl} and R. {Rogers} and A. {Ijaz},,2017,IEEE Digital Library,522-524,,,inproceedings,10.1109/ICALT.2017.51,,,,computer aided instruction;data visualisation;query processing;search engines;semantic Web;semantic Web tool;cross-language results;multimodal Web search tool;digital method initiative;search engine language domains;search result visualization;semantic added value;semantic concept extraction;NER tool;SaR-Web system;high-level learning activities;Bloom taxonomy;Search engines;Tools;Visualization;Semantics;Tag clouds;Engines;Cultural differences;Digital methods;Search as learning;cross-language an,,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
tibau2019using,Using Query Reformulation to Compare Learning Behaviors in Web Search Engines,M. {Tibau} and S. W. M. {Siqueira} and B. {Pereira Nunes} and T. {Nurmikko-Fuller} and R. F. {Manrique},,2019,IEEE Digital Library,219-223,2161-377X,,inproceedings,10.1109/ICALT.2019.00054,,,,query reformulation;query states;searching as learning;Web search engine;exploratory search;knowledge-intensive process,,,,,,"43730,1","43730,1",marcelo.machado,,Unclassified,
8433446,Modeling Exploratory Search as a Knowledge-Intensive Process,M. {Tibau} and S. W. M. {Siqueira} and B. {Pereira Nunes} and M. {Bortoluzzi} and I. {Marenzi},,2018,IEEE Digital Library,34-38,,,inproceedings,10.1109/ICALT.2018.00015,,,,computer aided instruction;decision making;information retrieval;Internet;knowledge based systems;teacher training;learning process;knowledge-intensive process;web searching;language teacher education;exploratory search;search pattern visualization;decision-making process;Web search;Task analysis;Tools;Search problems;Education;Electronic mail;Uncertainty;Exploratory search;Knowledge-intensive Process;Web searching;Search pattern;Search decision-making process,,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Moraes:2018:CSL:3269206.3271676,Contrasting Search As a Learning Activity with Instructor-designed Learning,"Moraes, Felipe and Putra, Sindunuraga Rikarno and Hauff, Claudia",,2018,ACM Digital Library,167--176,,,inproceedings,10.1145/3269206.3271676,http://doi.acm.org/10.1145/3269206.3271676,,,"search applications, search as learning, search behaviours analysis",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Bhattacharya:2018:REM:3204493.3204579,Relating Eye-tracking Measures with Changes in Knowledge on Search Tasks,"Bhattacharya, Nilavra and Gwizdka, Jacek",,2018,ACM Digital Library,62:1--62:5,,,inproceedings,10.1145/3204493.3204579,http://doi.acm.org/10.1145/3204493.3204579,,,"eye-tracking, knowledge assessment, search as learning",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Yu:2018:PUK:3209978.3210064,Predicting User Knowledge Gain in Informational Search Sessions,"Yu, Ran and Gadiraju, Ujwal and Holtz, Peter and Rokicki, Markus and Kemkes, Philipp and Dietze, Stefan",,2018,ACM Digital Library,75--84,,,inproceedings,10.1145/3209978.3210064,http://doi.acm.org/10.1145/3209978.3210064,,,"knowledge gain, search as learning, user modeling, web search",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Pardi:2019:SJB:3328413.3329405,Search and Justification Behavior During Multimedia Web Search for Procedural Knowledge,"Pardi, Georg and Kammerer, Yvonne and Gerjets, Peter",,2019,ACM Digital Library,17--20,,,inproceedings,10.1145/3328413.3329405,http://doi.acm.org/10.1145/3328413.3329405,,,"eye-tracking, modality, procedural knowledge, search as learning, search engine, videos",ACM,,,,,"43730,1","43730,1",marcelo.machado,,Unclassified,
Syed:2018:EDR:3176349.3176397,Exploring Document Retrieval Features Associated with Improved Short- and Long-term Vocabulary Learning Outcomes,"Syed, Rohail and Collins-Thompson, Kevyn",,2018,ACM Digital Library,191--200,,,inproceedings,10.1145/3176349.3176397,http://doi.acm.org/10.1145/3176349.3176397,,,"information retrieval, long-term learning, personalization, regression models, search as learning, vocabulary learning",ACM,,,,,"43730,1","43730,1",marcelo.machado,,Unclassified,
Bhattacharya:2019:MLD:3295750.3298926,"Measuring Learning During Search: Differences in Interactions, Eye-Gaze, and Semantic Similarity to Expert Knowledge","Bhattacharya, Nilavra and Gwizdka, Jacek",,2019,ACM Digital Library,63--71,,,inproceedings,10.1145/3295750.3298926,http://doi.acm.org/10.1145/3295750.3298926,,,"eye-tracking, human information behavior, measuring knowledge change, search as learning",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Smith:2019:KSS:3295750.3298940,Knowledge-Context in Search Systems: Toward Information-Literate Actions,"Smith, Catherine L. and Rieh, Soo Young",,2019,ACM Digital Library,55--62,,,inproceedings,10.1145/3295750.3298940,http://doi.acm.org/10.1145/3295750.3298940,,,"information literacy, learning-centric search, metacognition, search interaction, searching as learning, transactive memory",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
